GenreID,Genres
190,"Action,Crime,Drama,Thriller"
191,"Action,Comedy,Crime"
192,"Comedy,Drama,Romance"
193,"Drama,Fantasy,Mystery,Romance"
194,"Comedy,Drama"
195,"Horror,Mystery,Thriller"
196,Comedy
197,"Action,Comedy,Crime,Thriller"
198,"Action,Thriller"
199,"Biography,Drama,Romance"
200,"Drama,Horror,Sci-Fi,Thriller"
201,"Drama,Horror,Sci-Fi"
202,"Horror,Mystery"
203,"Drama,Western"
204,"Drama,Romance"
205,"Biography,Drama"
206,"Documentary,History"
207,"Comedy,Drama"
208,"Comedy,Drama,Romance"
209,"Comedy,Drama,Fantasy,Romance"
210,"Animation,Drama,Family,History,War"
211,"Drama,Fantasy,Romance"
212,"Drama,History,Thriller"
213,"Action,Thriller"
214,"Animation,Adventure,Comedy,Family"
215,"Comedy,Romance"
216,Comedy
217,"Drama,Mystery,Thriller"
218,"Drama,Mystery,Romance,Thriller"
219,Documentary
220,"Action,Adventure"
221,"Drama,Romance,War"
222,"Comedy,Crime,Drama,Thriller"
223,"Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller"
224,"Biography,Drama,Romance"
225,Documentary
226,"Drama,Horror,Thriller,War"
227,"Action,Thriller"
228,"Adventure,Biography,Drama,History"
229,"Comedy,Family,Fantasy,Musical"
230,"Adventure,Biography,Drama,Thriller,War"
231,"Documentary,Crime,Mystery"
232,"Action,Thriller"
233,"Action,Crime,Drama,Thriller"
234,"Comedy,Horror"
235,Documentary
236,"Action,Crime,Drama,Sci-Fi,Thriller"
237,"Action,Mystery,Thriller"
238,"Comedy,Drama"
239,"Comedy,Drama"
240,"Animation,Adventure,Comedy,Family,Fantasy,Mystery"
241,Documentary
242,"Biography,Drama"
243,"Comedy,Drama,Sci-Fi"
244,"Action,Fantasy,Thriller"
245,"Comedy,Drama"
246,"Animation,Adventure,Comedy,Family"
247,"Action,Adventure,Sci-Fi,Thriller"
248,"Action,Adventure,Crime,Fantasy,Mystery,Sci-Fi,Thriller"
249,"Animation,Adventure,Comedy,Family"
250,"Documentary,Short,Crime,War"
251,"Action,Crime"
252,"Action,Sci-Fi"
253,Comedy
254,"Action,Adventure,Comedy,Crime"
255,"Comedy,Music"
256,"Action,Adventure,Drama,Romance,Thriller,Western"
257,"Comedy,Drama"
258,"Documentary,Sport"
259,"Drama,Horror,Thriller"
260,"Action,Biography,Drama"
261,"Horror,Mystery,Thriller"
262,"Documentary,Biography,Music"
263,"Documentary,Biography,Music"
264,"Biography,Drama,History,Thriller"
265,"Biography,Drama"
266,"Documentary,Drama,Mystery,Thriller"
267,"Drama,Music"
268,"Comedy,Drama"
269,"Action,Biography,Drama,War"
270,"Comedy,Romance"
271,"Documentary,Biography"
272,"Comedy,Drama,Sport"
273,Comedy
274,Documentary
275,"Action,Thriller"
276,Comedy
277,Comedy
278,"Biography,Drama,Music"
